ID,plasmid_num,cluster_num,Nave
class_acidithiobacillia,6,3,2
class_actinomycetes,340,69,4.927536232
class_alphaproteobacteria,1459,154,9.474025974
class_bacilli,6238,314,19.86624204
class_bacteroidia,191,18,10.61111111
class_betaproteobacteria,458,47,9.744680851
class_chlamydiia,64,3,21.33333333
class_clostridia,258,35,7.371428571
class_coriobacteriia,3,1,3
class_cyanophyceae,61,18,3.388888889
class_cytophagia,11,2,5.5
class_deferribacteres,1,1,1
class_deinococci,81,4,20.25
class_desulfovibrionia,15,6,2.5
class_epsilonproteobacteria,267,17,15.70588235
class_flavobacteriia,33,5,6.6
class_fusobacteriia,18,6,3
class_gammaproteobacteria,19988,464,43.07758621
class_mollicutes,56,8,7
class_nitrospiria,5,1,5
class_opitutae,1,1,1
class_saprospiria,3,1,3
class_sphingobacteriia,5,4,1.25
class_spirochaetia,901,39,23.1025641
class_tissierellia,1,1,1
family_acetobacteraceae,147,23,6.391304348
family_acholeplasmataceae,4,2,2
family_acidithiobacillaceae,6,3,2
family_actinomycetaceae,1,1,1
family_aeromonadaceae,239,34,7.029411765
family_alcaligenaceae,7,5,1.4
family_alteromonadaceae,11,3,3.666666667
family_amorphaceae,1,1,1
family_arcobacteraceae,3,3,1
family_aurantimonadaceae,6,4,1.5
family_azospirillaceae,11,3,3.666666667
family_bacillaceae,1362,123,11.07317073
family_bacteroidaceae,160,15,10.66666667
family_bartonellaceae,7,2,3.5
family_bifidobacteriaceae,12,2,6
family_blattabacteriaceae,13,1,13
family_borreliaceae,804,33,24.36363636
family_brachyspiraceae,7,1,7
family_brevibacteriaceae,2,1,2
family_brucellaceae,13,4,3.25
family_burkholderiaceae,249,27,9.222222222
family_calotrichaceae,1,1,1
family_campylobacteraceae,180,12,15
family_candidatus_manganitrophaceae,5,1,5
family_carnobacteriaceae,2,2,1
family_chlamydiaceae,63,2,31.5
family_chromobacteriaceae,4,2,2
family_clostridiaceae,218,30,7.266666667
family_comamonadaceae,40,13,3.076923077
family_coriobacteriaceae,2,1,2
family_corynebacteriaceae,19,9,2.111111111
family_coxiellaceae,15,1,15
family_deferribacteraceae,1,1,1
family_deinococcaceae,26,2,13
family_desulfovibrionaceae,15,6,2.5
family_dysgonomonadaceae,2,2,1
family_eggerthellaceae,1,1,1
family_enterobacteriaceae,16146,228,70.81578947
family_enterococcaceae,1660,43,38.60465116
family_erwiniaceae,181,36,5.027777778
family_flavobacteriaceae,7,2,3.5
family_fluviibacteraceae,3,1,3
family_francisellaceae,8,2,4
family_fusobacteriaceae,10,4,2.5
family_geminicoccaceae,1,1,1
family_hafniaceae,45,15,3
family_halomonadaceae,3,1,3
family_helicobacteraceae,84,4,21
family_hymenobacteraceae,11,2,5.5
family_kineosporiaceae,1,1,1
family_lachnospiraceae,3,1,3
family_lactobacillaceae,1373,80,17.1625
family_legionellaceae,39,6,6.5
family_leptospiraceae,90,5,18
family_leptotrichiaceae,8,2,4
family_listeriaceae,63,3,21
family_marinobacteraceae,1,1,1
family_merismopediaceae,18,6,3
family_methylobacteriaceae,2,2,1
family_methylococcaceae,3,1,3
family_methylocystaceae,1,1,1
family_microbacteriaceae,52,8,6.5
family_micrococcaceae,4,2,2
family_microcoleaceae,5,1,5
family_moraxellaceae,1519,85,17.87058824
family_morganellaceae,194,30,6.466666667
family_mycobacteriaceae,87,14,6.214285714
family_mycoplasmataceae,10,3,3.333333333
family_neisseriaceae,148,5,29.6
family_nitrobacteraceae,14,3,4.666666667
family_nocardiaceae,99,15,6.6
family_nocardiopsaceae,3,1,3
family_nostocaceae,22,7,3.142857143
family_oceanospirillaceae,2,2,1
family_odoribacteraceae,1,1,1
family_paenibacillaceae,24,6,4
family_parachlamydiaceae,1,1,1
family_paracoccaceae,105,30,3.5
family_pasteurellaceae,27,7,3.857142857
family_pectobacteriaceae,11,7,1.571428571
family_peptoniphilaceae,1,1,1
family_peptostreptococcaceae,37,5,7.4
family_phyllobacteriaceae,14,4,3.5
family_piscirickettsiaceae,311,13,23.92307692
family_planococcaceae,4,2,2
family_prevotellaceae,2,1,2
family_propionibacteriaceae,5,1,5
family_pseudoalteromonadaceae,3,1,3
family_pseudomonadaceae,247,37,6.675675676
family_pseudonocardiaceae,3,1,3
family_puniceicoccaceae,1,1,1
family_rhizobiaceae,224,28,8
family_rhodanobacteraceae,1,1,1
family_rickettsiaceae,13,3,4.333333333
family_roseobacteraceae,713,51,13.98039216
family_saprospiraceae,3,1,3
family_shewanellaceae,29,5,5.8
family_sphaerotilaceae,2,2,1
family_sphingobacteriaceae,5,4,1.25
family_sphingomonadaceae,123,13,9.461538462
family_spiroplasmataceae,42,5,8.4
family_staphylococcaceae,1334,47,28.38297872
family_stappiaceae,11,3,3.666666667
family_sterolibacteriaceae,1,1,1
family_streptococcaceae,414,38,10.89473684
family_streptomycetaceae,52,14,3.714285714
family_synechococcaceae,8,2,4
family_tannerellaceae,26,6,4.333333333
family_thermaceae,55,2,27.5
family_tolypothrichaceae,7,3,2.333333333
family_vibrionaceae,198,32,6.1875
family_weeksellaceae,13,2,6.5
family_xanthobacteraceae,3,1,3
family_xanthomonadaceae,424,29,14.62068966
family_yersiniaceae,330,44,7.5
family_zoogloeaceae,1,1,1
family_zymomonadaceae,50,8,6.25
genus_acetobacter,79,11,7.181818182
genus_achromobacter,5,3,1.666666667
genus_acidiphilium,6,1,6
genus_acidithiobacillus,6,3,2
genus_acidovorax,9,4,2.25
genus_acinetobacter,1447,74,19.55405405
genus_actibacterium,2,2,1
genus_actinobacillus,8,3,2.666666667
genus_actinomyces,1,1,1
genus_acuticoccus,1,1,1
genus_aeromonas,239,34,7.029411765
genus_aestuarium,2,2,1
genus_aggregatibacter,3,1,3
genus_agrobacterium,102,16,6.375
genus_alcaligenes,1,1,1
genus_aliarcobacter,1,1,1
genus_alicycliphilus,2,2,1
genus_aliiroseovarius,8,1,8
genus_aliivibrio,1,1,1
genus_allofrancisella,1,1,1
genus_allorhizobium,2,2,1
genus_alteromonas,11,3,3.666666667
genus_aminobacter,6,2,3
genus_anaerococcus,1,1,1
genus_ancylobacter,2,1,2
genus_arcobacter,1,1,1
genus_arsenophonus,3,1,3
genus_atlantibacter,1,1,1
genus_aureimonas,1,1,1
genus_avibacterium,1,1,1
genus_azospirillum,10,2,5
genus_bacillus,1146,105,10.91428571
genus_bacteroides,140,15,9.333333333
genus_bartonella,7,2,3.5
genus_bifidobacterium,12,2,6
genus_blattabacterium,13,1,13
genus_borrelia,451,25,18.04
genus_borreliella,353,15,23.53333333
genus_brachyspira,7,1,7
genus_bradyrhizobium,14,3,4.666666667
genus_brevibacillus,2,1,2
genus_brevibacterium,2,1,2
genus_brucella,4,2,2
genus_buchnera,52,7,7.428571429
genus_burkholderia,220,20,11
genus_buttiauxella,2,2,1
genus_butyricimonas,1,1,1
genus_caballeronia,1,1,1
genus_calothrix,1,1,1
genus_campylobacter,180,12,15
genus_candidatus_manganitrophus,5,1,5
genus_candidatus_nardonella,1,1,1
genus_candidatus_phytoplasma,4,2,2
genus_candidatus_profftella,3,1,3
genus_candidatus_stammera,13,1,13
genus_carnobacterium,2,2,1
genus_celeribacter,4,3,1.333333333
genus_cereibacter,43,7,6.142857143
genus_cetobacterium,1,1,1
genus_chitinibacter,1,1,1
genus_chlamydia,63,2,31.5
genus_chromobacterium,3,1,3
genus_citrobacter,612,83,7.373493976
genus_clavibacter,37,4,9.25
genus_clostridioides,37,5,7.4
genus_clostridium,218,30,7.266666667
genus_collinsella,2,1,2
genus_comamonas,9,5,1.8
genus_companilactobacillus,16,7,2.285714286
genus_corynebacterium,19,9,2.111111111
genus_coxiella,15,1,15
genus_cronobacter,54,12,4.5
genus_cupriavidus,14,5,2.8
genus_curtobacterium,9,2,4.5
genus_cutibacterium,5,1,5
genus_cycloclasticus,1,1,1
genus_deferribacter,1,1,1
genus_deinococcus,26,2,13
genus_delftia,3,2,1.5
genus_denitratisoma,1,1,1
genus_desulfovibrio,6,3,2
genus_diaphorobacter,4,2,2
genus_dickeya,5,3,1.666666667
genus_dinoroseobacter,5,2,2.5
genus_duffyella,2,1,2
genus_edwardsiella,41,13,3.153846154
genus_eggerthella,1,1,1
genus_empedobacter,8,1,8
genus_enterobacter,1209,89,13.58426966
genus_enterocloster,3,1,3
genus_enterococcus,1632,37,44.10810811
genus_erwinia,48,10,4.8
genus_escherichia,6165,134,46.00746269
genus_exiguobacterium,2,1,2
genus_flavobacterium,7,2,3.5
genus_fluviibacter,3,1,3
genus_formicincola,1,1,1
genus_francisella,7,2,3.5
genus_frigidibacter,1,1,1
genus_fructilactobacillus,3,3,1
genus_furfurilactobacillus,11,6,1.833333333
genus_fusobacterium,8,2,4
genus_gemmobacter,2,2,1
genus_geobacillus,7,2,3.5
genus_glaesserella,2,2,1
genus_gluconobacter,10,5,2
genus_haematobacter,1,1,1
genus_haemophilus,4,3,1.333333333
genus_hafnia,4,3,1.333333333
genus_halomonas,3,1,3
genus_helicobacter,84,4,21
genus_heyndrickxia,1,1,1
genus_hydrogenophaga,3,1,3
genus_hymenobacter,11,2,5.5
genus_ilyobacter,1,1,1
genus_kalamiella,1,1,1
genus_ketogulonicigenium,10,3,3.333333333
genus_kineococcus,1,1,1
genus_kinneretia,1,1,1
genus_klebsiella,5923,129,45.91472868
genus_kluyvera,7,5,1.4
genus_komagataeibacter,34,8,4.25
genus_kosakonia,7,5,1.4
genus_kozakia,6,3,2
genus_lacticaseibacillus,133,16,8.3125
genus_lactiplantibacillus,607,39,15.56410256
genus_lactobacillus,61,15,4.066666667
genus_lactococcus,337,24,14.04166667
genus_latilactobacillus,65,9,7.222222222
genus_lawsonia,9,3,3
genus_leclercia,37,13,2.846153846
genus_legionella,39,6,6.5
genus_leisingera,81,10,8.1
genus_lelliottia,4,4,1
genus_lentilactobacillus,19,7,2.714285714
genus_leptospira,90,5,18
genus_leptotrichia,6,1,6
genus_leuconostoc,116,11,10.54545455
genus_levilactobacillus,102,27,3.777777778
genus_ligilactobacillus,43,5,8.6
genus_limosilactobacillus,12,7,1.714285714
genus_liquorilactobacillus,7,4,1.75
genus_listeria,63,3,21
genus_loigolactobacillus,42,10,4.2
genus_lysinibacillus,6,2,3
genus_macrococcus,62,9,6.888888889
genus_malaciobacter,1,1,1
genus_mameliella,1,1,1
genus_mammaliicoccus,9,3,3
genus_mannheimia,3,1,3
genus_marinobacter,1,1,1
genus_marinomonas,1,1,1
genus_marinovum,2,2,1
genus_martelella,4,2,2
genus_melissococcus,3,1,3
