Clusters,Phylum1,pnum1,Phylum2,pnum2,Phylum3,pnum3,Phylum4,pnum4,Phylum5,pnum5,Phylum6,pnum6,Class1,cnum1,Class2,cnum2,Class3,cnum3,Class4,cnum4,Class5,cnum5,Class6,cnum6,Class7,cnum7,Class8,cnum8,Order1,onum1,Order2,onum2,Order3,onum3,Order4,onum4,Order5,onum5,Order6,onum6,Order7,onum7,Order8,onum8,Order9,onum9,Family1,fnum1,Family2,fnum2,Family3,fnum3,Family4,fnum4,Family5,fnum5,Family6,fnum6,Family7,fnum7,Family8,fnum8,Family9,fnum9,Family10,fnum10,Family11,fnum11,Family12,fnum12,Family13,fnum13,Family14,fnum14,Genus1,gnum1,Genus2,gnum2,Genus3,gnum3,Genus4,gnum4,Genus5,gnum5,Genus6,gnum6,Genus7,gnum7,Genus8,gnum8,Genus9,gnum9,Genus10,gnum10,Genus11,gnum11,Genus12,gnum12,Genus13,gnum13,Genus14,gnum14,Genus15,gnum15,Genus16,gnum16,Genus17,gnum17,Genus18,gnum18,Genus19,gnum19,Genus20,gnum20,Genus21,gnum21,Genus22,gnum22,Genus23,gnum23,Genus24,gnum24,Genus25,gnum25,Genus26,gnum26,Genus27,gnum27,Genus28,gnum28,Genus29,gnum29
0,phylum_pseudomonadota,1951,,,,,,,,,,,class_betaproteobacteria,1,class_gammaproteobacteria,1950,,,,,,,,,,,,,order_aeromonadales,1,order_neisseriales,1,order_enterobacterales,1949,,,,,,,,,,,,,family_neisseriaceae,1,family_hafniaceae,1,family_aeromonadaceae,1,family_enterobacteriaceae,1947,family_morganellaceae,1,,,,,,,,,,,,,,,,,,,genus_aeromonas,1,genus_salmonella,49,genus_citrobacter,6,genus_shigella,52,genus_escherichia,1466,genus_proteus,1,genus_klebsiella,370,genus_neisseria,1,genus_enterobacter,4,genus_edwardsiella,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,phylum_pseudomonadota,1487,phylum_bacillota,1,,,,,,,,,class_bacilli,1,class_gammaproteobacteria,1487,,,,,,,,,,,,,order_aeromonadales,1,order_bacillales,1,order_enterobacterales,1486,,,,,,,,,,,,,family_bacillaceae,1,family_aeromonadaceae,1,family_yersiniaceae,14,family_enterobacteriaceae,1472,,,,,,,,,,,,,,,,,,,,,genus_cronobacter,4,genus_phytobacter,1,genus_salmonella,3,genus_serratia,14,genus_shigella,1,genus_kluyvera,1,genus_enterobacter,43,genus_aeromonas,1,genus_citrobacter,15,genus_escherichia,20,genus_klebsiella,1347,genus_bacillus,1,genus_raoultella,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,phylum_pseudomonadota,1266,phylum_bacillota,1,phylum_thermodesulfobacteriota,1,phylum_actinomycetota,1,,,,,class_bacilli,1,class_gammaproteobacteria,1266,class_actinomycetes,1,class_desulfovibrionia,1,,,,,,,,,order_aeromonadales,8,order_vibrionales,15,order_bacillales,1,order_desulfovibrionales,1,order_pseudomonadales,2,order_alteromonadales,8,order_mycobacteriales,1,order_enterobacterales,1155,order_moraxellales,78,family_moraxellaceae,78,family_yersiniaceae,4,family_morganellaceae,27,family_pseudomonadaceae,2,family_vibrionaceae,15,family_bacillaceae,1,family_corynebacteriaceae,1,family_enterobacteriaceae,1114,family_erwiniaceae,2,family_shewanellaceae,8,family_pectobacteriaceae,1,family_hafniaceae,7,family_aeromonadaceae,8,family_desulfovibrionaceae,1,genus_acinetobacter,78,genus_proteus,12,genus_pantoea,1,genus_phytobacter,2,genus_desulfovibrio,1,genus_plesiomonas,1,genus_salmonella,318,genus_shewanella,8,genus_mixta,1,genus_moellerella,1,genus_leclercia,3,genus_shigella,38,genus_serratia,3,genus_corynebacterium,1,genus_vibrio,14,genus_pseudomonas,2,genus_yersinia,1,genus_kluyvera,1,genus_enterobacter,132,genus_pectobacterium,1,genus_aeromonas,8,genus_citrobacter,71,genus_escherichia,336,genus_photobacterium,1,genus_klebsiella,208,genus_bacillus,1,genus_raoultella,4,genus_providencia,14,genus_edwardsiella,7
3,phylum_pseudomonadota,1200,phylum_bacillota,1,phylum_actinomycetota,2,,,,,,,class_betaproteobacteria,1,class_bacilli,1,class_gammaproteobacteria,1199,class_actinomycetes,2,,,,,,,,,order_burkholderiales,1,order_aeromonadales,1,order_bacillales,1,order_pseudomonadales,1,order_mycobacteriales,2,order_enterobacterales,1197,,,,,,,family_yersiniaceae,7,family_morganellaceae,2,family_pseudomonadaceae,1,family_bacillaceae,1,family_corynebacteriaceae,2,family_enterobacteriaceae,1178,family_erwiniaceae,6,family_pectobacteriaceae,1,family_burkholderiaceae,1,family_hafniaceae,3,family_aeromonadaceae,1,,,,,,,genus_hafnia,2,genus_cronobacter,4,genus_pantoea,3,genus_phytobacter,2,genus_superficieibacter,1,genus_morganella,1,genus_salmonella,116,genus_erwinia,3,genus_leclercia,8,genus_shigella,6,genus_serratia,7,genus_corynebacterium,2,genus_pseudomonas,1,genus_kluyvera,3,genus_enterobacter,365,genus_pectobacterium,1,genus_aeromonas,1,genus_citrobacter,74,genus_burkholderia,1,genus_escherichia,136,genus_kosakonia,1,genus_klebsiella,452,genus_bacillus,1,genus_raoultella,10,genus_providencia,1,genus_edwardsiella,1,,,,,,
4,phylum_pseudomonadota,747,,,,,,,,,,,class_gammaproteobacteria,747,,,,,,,,,,,,,,,order_enterobacterales,747,,,,,,,,,,,,,,,,,family_enterobacteriaceae,747,,,,,,,,,,,,,,,,,,,,,,,,,,,genus_salmonella,156,genus_shigella,27,genus_citrobacter,2,genus_escherichia,536,genus_klebsiella,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,phylum_pseudomonadota,712,phylum_bacillota,3,,,,,,,,,class_bacilli,3,class_gammaproteobacteria,712,,,,,,,,,,,,,order_lactobacillales,3,order_enterobacterales,712,,,,,,,,,,,,,,,family_enterococcaceae,3,family_yersiniaceae,1,family_enterobacteriaceae,710,family_morganellaceae,1,,,,,,,,,,,,,,,,,,,,,genus_salmonella,19,genus_shigella,11,genus_citrobacter,7,genus_escherichia,97,genus_proteus,1,genus_klebsiella,539,genus_serratia,1,genus_raoultella,16,genus_enterococcus,3,genus_enterobacter,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,phylum_pseudomonadota,1,phylum_bacteroidota,1,phylum_bacillota,577,,,,,,,class_bacilli,577,class_gammaproteobacteria,1,class_sphingobacteriia,1,,,,,,,,,,,order_xanthomonadales,1,order_bacillales,576,order_sphingobacteriales,1,order_lactobacillales,1,,,,,,,,,,,family_enterococcaceae,1,family_sphingobacteriaceae,1,family_staphylococcaceae,576,family_rhodanobacteraceae,1,,,,,,,,,,,,,,,,,,,,,genus_macrococcus,1,genus_mammaliicoccus,5,genus_sphingobacterium,1,genus_rhodanobacter,1,genus_enterococcus,1,genus_staphylococcus,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,phylum_pseudomonadota,570,,,,,,,,,,,class_gammaproteobacteria,570,,,,,,,,,,,,,,,order_aeromonadales,1,order_enterobacterales,569,,,,,,,,,,,,,,,family_hafniaceae,1,family_aeromonadaceae,1,family_yersiniaceae,2,family_enterobacteriaceae,554,family_morganellaceae,10,family_erwiniaceae,2,,,,,,,,,,,,,,,,,genus_cronobacter,1,genus_lelliottia,1,genus_proteus,7,genus_pantoea,2,genus_siccibacter,1,genus_morganella,3,genus_salmonella,17,genus_leclercia,6,genus_shigella,8,genus_serratia,2,genus_metakosakonia,1,genus_enterobacter,59,genus_aeromonas,1,genus_citrobacter,22,genus_escherichia,87,genus_klebsiella,341,genus_raoultella,8,genus_edwardsiella,1,,,,,,,,,,,,,,,,,,,,,,
8,phylum_pseudomonadota,525,phylum_bacillota,2,phylum_actinomycetota,1,,,,,,,class_bacilli,1,class_gammaproteobacteria,525,class_tissierellia,1,class_actinomycetes,1,,,,,,,,,order_bacillales,1,order_mycobacteriales,1,order_enterobacterales,525,order_tissierellales,1,,,,,,,,,,,family_hafniaceae,1,family_bacillaceae,1,family_yersiniaceae,1,family_peptoniphilaceae,1,family_enterobacteriaceae,523,family_corynebacteriaceae,1,,,,,,,,,,,,,,,,,genus_salmonella,94,genus_anaerococcus,1,genus_shigella,25,genus_corynebacterium,1,genus_escherichia,383,genus_klebsiella,21,genus_bacillus,1,genus_serratia,1,genus_edwardsiella,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,phylum_pseudomonadota,427,,,,,,,,,,,class_gammaproteobacteria,427,,,,,,,,,,,,,,,order_enterobacterales,427,,,,,,,,,,,,,,,,,family_enterobacteriaceae,426,family_morganellaceae,1,,,,,,,,,,,,,,,,,,,,,,,,,genus_citrobacter,13,genus_escherichia,8,genus_klebsiella,396,genus_raoultella,1,genus_morganella,1,genus_enterobacter,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
