Psum,smallest,small,average,large,lower,low,mean,high,higher,circular,linear,rep_cluster_707,MOBF,MOBP,MOBQ,MOBC,MOBH,MOBV,MPF_F,MPF_I,MPF_T,oriT_MOBP,PF09140.14,PF00528.25,PF03466.23,PF04335.16,PF13728.9,PF16932.8,PF00271.34,PF13817.9,PF11799.11,PF13520.9,PF01751.25,PF03524.18,PF12293.11,PF12696.10,PF02796.18,PF04945.16,PF00486.31,PF03050.17,PF13304.9,PF02775.24,PF06586.14,PF00126.30,PF02776.21,PF13560.9,PF00702.29,PF00005.30,PF00145.20,PF06067.14,PF01443.21,PF00665.29,PF06986.14,PF02899.20,PF08388.14,PF06952.14,PF02463.22,PF01609.24,PF18821.4,PF07690.19,PF00239.24,PF07732.18,PF01131.23,PF13700.9,PF05101.16,PF13671.9,PF08751.14,PF06406.14,PF01464.23,PF06122.14,PF07424.14,PF00440.26,PF00892.23,PF01580.21,PF19357.2,PF06290.14,PF00753.30,PF00532.24,PF13683.9,PF16509.8,PF00497.23,PF00816.24,PF13586.9,PF00817.23,PF08534.13,PF09673.13,PF07996.14,PF08535.13,PF13333.9,PF16816.8,PF13610.9,PF13518.9,PF04956.16,PF09676.13,PF02737.21,PF07728.17,PF09677.13,PF03135.17,PF00589.25,PF13276.9,PF01527.23,PF13434.9,PF03743.17,PF01850.24,PF12831.10,PF13007.10,PF13340.9,PF02374.18,PF00436.28,PF00717.26,PF19044.3,PF02534.17,PF07015.14,PF00437.23,PF02195.21,PF10609.12,PF06564.15,PF00122.23,PF02518.29,PF13751.9,PF01022.23,PF05309.14,PF01266.27,PF01547.28,PF05513.14,PF13708.9,PF11393.11,PF04610.17,PF01381.25,PF13342.9,PF13416.9,PF13604.9,PF00462.27,PF02811.22,PF07733.15,PF17657.4,PF13154.9,PF05284.15,PF13155.9,PF13442.9,PF14579.9,PF00034.24,PF18555.4
5,0.99,0.01,0,0,0,0.01,0.98,0.01,0,0.88,0.11,0,0.54,0.01,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0.031358885,0,0,0,0,0,0,0.037601626,0,0,0.055853099,0.190972222,0,0,0.041763341,0,0,0,0.009453782,0.134453782,0,0,0.024680073,0,0,0,0,0,0.050054407,0,0.043902439,0.032190343,0,0,0.075040783,0,0,0,0,0.01734104,0,0,0.020501139,0.049180328,0,0,0,0,0,0.073431242,0,0,0,0,0,0.080357143,0,0,0,0.042857143,0,0.05848329,0.091823899,0,0,0,0.03930131,0,0,0,0.028571429,0.115335868,0,0,0,0,0.062068966,0,0,0,0,0,0,0,0.015151515,0.013412817,0,0,0,0,0,0.035573123,0,0,0,0,0,0,0,0.182096404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.9,0.08,0.02,0,0.24,0.76,0,0,0,0.9,0.09,0,0,0.31,0.01,0,0,0.56,0,0,0,0.24,0,0,0.039443155,0,0,0,0,0,0,0,0,0,0,0,0.265243902,0,0,0,0.102430556,0,0,0.039443155,0,0.091818182,0.155963303,0.115546218,0,0,0,0.439670932,0,0,0,0,0.078703704,0.008705114,0,0.891056911,0.182645206,0,0,0,0,0.033898305,0,0,0,0,0,0.056947608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314267352,0.010062893,0,0,0.0625,0,0,0,0.007305936,0,0,0,0,0,0,0,0,0.0436457,0,0.086734694,0,0,0,0,0,0.049418605,0.041463415,0.133858268,0,0.040816327,0.217391304,0,0,0,0,0,0,0,0.090283091,0,0,0,0.103030303,0.111111111,0,0,0,0,0,0,0,0,0
5,0.4,0,0,0.594059406,0.6,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.014634146,0.020408163,0.027842227,0,0,0,0.056372549,0,0,0,0,0,0,0.015075377,0,0.179104478,0.252136752,0.026778883,0.121527778,0,0,0.027842227,0,0.020909091,0,0.073529412,0,0,0.020869565,0.042961609,0,0.050997783,0.421428571,0,0,0.229597388,0,0.037398374,0,0,0,0,0,0,0,0,0.023121387,0,0,0.027334852,0,0.070121951,0,0,0.115577889,0,0.078771696,0,0.099173554,0,0.021238938,0,0,0,0,0,0.036507937,0,0.007712082,0.088050314,0,0,0,0.152838428,0,0,0.074885845,0.019047619,0.015209125,0,0,0.02238806,0,0,0.051094891,0.015404365,0,0,0,0.018720749,0,0,0.017883756,0.01744186,0,0,0.169064748,0,0,0,0,0,0,0,0,0,0.035960214,0,0,0,0.072727273,0,0,0,0,0,0,0,0,0,0
5,0.48,0,0,0.514851485,0,0,0.29,0.62,0.1,1,0,0,0,0.28,0.28,0,0.07,0,0,0,0.38,0.29,0.084146341,0.523809524,0.076566125,0.144278607,0.021021021,0,0,0.327526132,0.017857143,0,0.01025641,0.112403101,0,0.086683417,0.022357724,0,0.123931624,0.116296863,0.157986111,0,0.03271028,0.083526682,0,0,0.100917431,0.18697479,0.008403361,0,0.069565217,0.020109689,0.03271028,0.031042129,0.05,0,0,0.019586507,0,0.058536585,0.040587824,0,0.009456265,0.053833605,0.168115942,0.016949153,0,0,0.063583815,0.03271028,0,0.066059226,0.021857923,0,0,0,0.035175879,0.369230769,0.009345794,0,0.239669421,0.015909091,0,0.017857143,0,0.03271028,0,0,0.006349206,0,0.008997429,0.017610063,0.144278607,0.03271028,0,0.061135371,0,0.148717949,0.095890411,0.006349206,0.11913815,0,0.154228856,0.054104478,0.236842105,0.213793103,0,0.037227214,0.00886918,0.017857143,0.07797271,0.090483619,0.072,0.104377104,0.070044709,0.052325581,0.035365854,0.015748031,0.089928058,0.020408163,0.007905138,0.03271028,0.314079422,0.340659341,0,0.02020202,0,0.120582121,0.010711553,0,0.343195266,0.078610603,0,0.045751634,0.045751634,0.045751634,0.012383901,0.033333333,0.011904762,0,0,0,0
5,0.42,0,0,0.574257426,1,0,0,0,0,0.95,0.05,0,0,0,0,0,0,0.02,0,0.02,0.19,0,0.004878049,0.010204082,0,0,0.006006006,0,0.12745098,0,0.005102041,0,0.128205128,0,0,0.060301508,0.007113821,0,0.02991453,0.003060444,0.026041667,0,0.009345794,0,0,0.031818182,0,0.033613445,0.073529412,0,0.097391304,0.011882998,0.009345794,0.133037694,0.121428571,0,0.027777778,0.040261153,0,0.009756098,0.028691393,0,0.080378251,0.003262643,0,0.029661017,0,0.005102041,0.075144509,0.009345794,0,0,0.021857923,0.067073171,0.009345794,0,0.055276382,0,0.008010681,0,0.033057851,0,0,0.005102041,0.035714286,0.009345794,0,0,0.00952381,0,0.004498715,0.011320755,0,0.009345794,0,0.187772926,0,0,0.071232877,0.00952381,0.00887199,0,0.004975124,0.003731343,0,0,0,0.005134788,0.161862528,0.005102041,0.066276803,0.067082683,0.004,0.102693603,0.035767511,0.005813953,0.002439024,0,0.061151079,0.035714286,0.003952569,0.009345794,0,0.010989011,0,0.045454545,0,0,0.087222647,0.051282051,0,0.074954296,0.103030303,0.156862745,0.222222222,0.169934641,0,0,0.011904762,0,0.156862745,0,0
5,0.09,0.03,0.12,0.742574257,0,0.04,0.42,0.52,0.02,0.96,0.03,0,0.02,0.06,0.02,0.04,0.68,0,0.69,0.04,0.07,0.07,0.064634146,0.005102041,0.027842227,0.017412935,0.117117117,0.012738854,0.004901961,0.034843206,0.068877551,0.007692308,0.064102564,0.015503876,0.01242236,0.052763819,0.086382114,0.074626866,0.055555556,0.140015302,0.032986111,0,0.182242991,0.078886311,0,0.022727273,0.036697248,0.015756303,0.12394958,0.003875969,0.095652174,0.10786106,0.168224299,0.053215078,0.028571429,0.014388489,0.013888889,0.156692057,0,0.141463415,0.076976907,0.022988506,0.059101655,0.110929853,0.011594203,0.038135593,0.001828154,0.06377551,0.08477842,0.182242991,0.010309278,0.127562642,0.06557377,0,0.172897196,0.014492754,0.045226131,0.005128205,0.098798398,0.007117438,0.008264463,0.095454545,0.007079646,0.066326531,0.008928571,0.172897196,0.008316008,0.074733096,0.063492063,0.012738854,0.133676093,0.088050314,0.012437811,0.186915888,0.03125,0.165938865,0.006134969,0.01025641,0.107762557,0.095238095,0.081115336,0.008264463,0.121890547,0.005597015,0,0.034482759,0.005839416,0.038510911,0.033259424,0.066326531,0.079922027,0.009360374,0.006,0.016835017,0.081967213,0.040697674,0.006097561,0.027559055,0.079136691,0.025510204,0.049407115,0.186915888,0.014440433,0,0.00591716,0.212121212,0.012578616,0.01039501,0.04055088,0.01025641,0.00591716,0.007312614,0.006060606,0,0,0,0,0,0,0,0,0,0
4.999504069,0.25,0,0,0.732673267,0,0,0,0,1,0.88,0.12,0,0,0.12,0,0,0,0,0,0,0,0,0.037804878,0.340136054,0.129930394,0,0,0,0.012254902,0.052264808,0,0,0,0,0,0,0.005081301,0,0.085470085,0.011476664,0.159722222,0.045454545,0,0.129930394,0.056818182,0.028181818,0.03058104,0.236344538,0,0,0.008695652,0.042047532,0,0.011086475,0,0,0,0.0609358,0,0.032520325,0.006997901,0,0,0,0,0.021186441,0,0,0,0,0,0.059225513,0.109289617,0.015243902,0,0,0,0.158974359,0.041388518,0,0.082644628,0,0.063716814,0,0,0,0,0,0.023809524,0,0,0.032704403,0,0,0.1171875,0.021834061,0,0,0.00913242,0.041269841,0.051964512,0.041322314,0,0.018656716,0,0.051724138,0.059854015,0.006418485,0,0,0,0,0,0.008417508,0.046199702,0.007267442,0.024390244,0.039370079,0.071942446,0,0.009881423,0,0.202166065,0.307692308,0,0,0,0,0.023718439,0,0.183431953,0,0,0,0,0,0,0,0,0,0,0,0
4.863007398,0.8,0,0,0.198019802,0.2,0.8,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0.203658537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242732558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.835214028,0.2,0,0.2,0.594059406,0.2,0.8,0,0,0,0.8,0.2,0,0,0.2,0,0,0,0,0,0,0.4,0,0.013414634,0,0.025522042,0,0,0,0.112745098,0,0,0,0,0,0,0.057788945,0.011178862,0,0,0.00841622,0.059027778,0,0,0.025522042,0,0.041818182,0.033639144,0.048319328,0.023109244,0,0,0.115173675,0,0.201773836,0.571428571,0,0.050925926,0.199129489,0,0.037398374,0,0,0,0.037520392,0,0,0,0,0.044315992,0,0,0,0,0.033536585,0,0,0,0.056410256,0.198931909,0,0,0,0,0,0,0,0,0,0.236507937,0,0.029562982,0.143396226,0,0.051401869,0,0,0,0,0.188127854,0.217460317,0.130544994,0,0.027363184,0,0,0,0,0,0,0,0.044834308,0.071762871,0.046,0.038720539,0,0,0,0,0.039568345,0.234693878,0.045454545,0,0,0,0,0,0,0,0.078806427,0,0,0,0,0,0,0,0.07120743,0,0.068452381,0,0,0,0.041666667
4.782568178,1,0,0,0,0,0,0.16,0.83,0,0.96,0.04,0,0,0.73,0,0,0,0,0,0,0,0.54,0.012195122,0.013605442,0.004640371,0,0.018018018,0,0.004901961,0.006968641,0.025510204,0,0,0,0,0.005025126,0.024390244,0,0,0.021423106,0.140625,0,0.009345794,0.004640371,0,0.02,0.006116208,0.045168067,0.050420168,0,0.003478261,0.050274223,0.009345794,0,0,0.014388489,0.027777778,0.042437432,0,0.01300813,0.052484255,0,0,0.109298532,0,0,0.003656307,0.005102041,0.003853565,0.018691589,0,0.018223235,0.032786885,0.006097561,0.009345794,0.014492754,0.010050251,0.01025641,0.062750334,0,0.016528926,0,0,0.015306122,0,0.009345794,0,0.007117438,0.022222222,0,0.017994859,0.06918239,0,0.009345794,0,0,0.012269939,0,0.021917808,0.068253968,0.067173638,0,0.004975124,0.003731343,0,0.006896552,0,0.010269576,0.00443459,0.015306122,0.003898635,0.003120125,0.004,0,0.01490313,0.005813953,0.004878049,0,0,0.051020408,0.023715415,0.009345794,0,0,0.01183432,0,0,0,0.116296863,0,0,0.010968921,0,0,0,0,0,0,0,0,0,0,0
