Groups,Topology
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,not-set
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,linear
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,not-set
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,not-set
0,linear
0,circular
0,circular
0,not-set
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,circular
0,linear
0,circular
0,circular
0,circular
0,circular
0,not-set
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,not-set
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
0,circular
