NCBI_ID	predicted_mobility
AP024696.1	conjugative
AP026905.1	mobilizable
AP026908.1	mobilizable
CP000836.1	conjugative
CP000913.1	conjugative
CP001162.1	conjugative
CP006001.1	conjugative
CP007150.1	conjugative
CP012113.1	conjugative
CP013836.1	conjugative
CP014493.1	conjugative
CP018462.1	non-mobilizable
CP018958.1	conjugative
CP018960.1	non-mobilizable
CP022460.1	conjugative
CP022610.1	conjugative
CP024249.1	conjugative
CP027345.1	conjugative
CP027346.1	non-mobilizable
CP027377.1	conjugative
CP027485.1	conjugative
CP027641.1	conjugative
CP027674.1	conjugative
CP027765.1	conjugative
CP030319.1	conjugative
CP031137.1	non-mobilizable
CP034056.1	conjugative
CP034254.1	conjugative
CP034324.1	conjugative
CP042351.1	conjugative
CP042600.1	mobilizable
CP042601.1	conjugative
CP042619.1	conjugative
CP042621.1	conjugative
CP042629.1	conjugative
CP042630.1	conjugative
CP042633.1	conjugative
CP042640.1	mobilizable
CP042642.1	conjugative
CP043241.1	conjugative
CP043245.1	conjugative
CP043249.1	conjugative
CP043253.1	conjugative
CP043257.1	conjugative
CP043259.1	non-mobilizable
CP043265.1	conjugative
CP043270.1	conjugative
CP044023.1	mobilizable
CP044024.1	conjugative
CP044347.1	conjugative
CP044348.1	conjugative
CP046958.1	conjugative
CP046959.1	non-mobilizable
CP046963.1	conjugative
CP048414.1	non-mobilizable
CP048936.1	conjugative
CP049164.1	mobilizable
CP050278.1	non-mobilizable
CP050282.1	mobilizable
CP050286.1	non-mobilizable
CP051335.1	conjugative
CP051750.1	conjugative
CP053596.1	non-mobilizable
CP054243.1	conjugative
CP054247.1	conjugative
CP054250.1	conjugative
CP054318.1	conjugative
CP054321.1	mobilizable
CP054329.1	conjugative
CP054336.1	conjugative
CP054450.1	conjugative
CP054455.1	conjugative
CP054458.1	conjugative
CP058590.1	conjugative
CP058772.1	conjugative
CP058778.1	conjugative
CP058801.1	conjugative
CP058915.1	conjugative
CP059905.1	conjugative
CP059923.1	conjugative
CP059926.1	conjugative
CP059927.1	conjugative
CP059945.1	conjugative
CP072912.1	conjugative
CP073045.1	conjugative
CP074358.1	conjugative
CP074360.1	conjugative
CP076673.1	mobilizable
CP077064.1	conjugative
CP082328.1	conjugative
CP082329.1	conjugative
CP085519.1	conjugative
CP085521.1	conjugative
CP085624.1	conjugative
CP085625.1	conjugative
CP087288.1	conjugative
CP087291.1	conjugative
CP087295.1	conjugative
CP087565.1	conjugative
CP090075.1	mobilizable
CP091808.1	conjugative
CP095456.1	conjugative
CP097171.1	mobilizable
CP097200.1	conjugative
CP097365.1	conjugative
CP097712.1	conjugative
CP097717.1	conjugative
CP097720.1	conjugative
CP097722.1	conjugative
CP097727.1	conjugative
CP098235.1	conjugative
CP100073.1	conjugative
CP100115.1	mobilizable
CP100116.1	conjugative
CP100121.1	conjugative
CP102696.1	conjugative
CP102697.1	non-mobilizable
CP102699.1	non-mobilizable
CP104596.1	conjugative
CP107227.1	mobilizable
CP107293.1	conjugative
CP107299.1	conjugative
CP107304.1	non-mobilizable
CP107309.1	conjugative
CP107313.1	conjugative
CP107329.1	mobilizable
CP107336.1	mobilizable
CP107342.1	non-mobilizable
CP107347.1	mobilizable
CP107360.1	conjugative
CP107364.1	non-mobilizable
CP107368.1	conjugative
CP107374.1	mobilizable
CP107380.1	conjugative
CP107385.1	mobilizable
CP107391.1	conjugative
CP107395.1	conjugative
CP107409.1	conjugative
CP107414.1	conjugative
CP107418.1	conjugative
CP107423.1	conjugative
CP107428.1	conjugative
CP107434.1	conjugative
CP107438.1	conjugative
CP107443.1	conjugative
CP107454.1	non-mobilizable
CP107460.1	conjugative
CP107464.1	mobilizable
CP107470.1	conjugative
CP107475.1	conjugative
CP107480.1	conjugative
CP107485.1	conjugative
CP107490.1	conjugative
CP107495.1	conjugative
CP107500.1	conjugative
CP107505.1	conjugative
CP107510.1	conjugative
CP107515.1	conjugative
CP107520.1	conjugative
CP109950.1	mobilizable
CP109975.1	mobilizable
CP110194.1	conjugative
CP110196.1	conjugative
CP110199.1	conjugative
CP110411.1	conjugative
CP110413.1	conjugative
CP110815.1	conjugative
CP110817.1	conjugative
CP110995.1	conjugative
CP110998.1	conjugative
CP113188.1	conjugative
CP113487.1	conjugative
CP113489.1	conjugative
CP113494.1	conjugative
CP113982.1	conjugative
CP114307.1	conjugative
CP114364.1	conjugative
CP116243.1	conjugative
CP116481.1	conjugative
CP116482.1	conjugative
CP116494.1	non-mobilizable
CP117185.1	conjugative
CP117333.1	conjugative
CP117559.1	conjugative
CP117571.1	conjugative
CP117593.1	conjugative
CP117601.1	conjugative
CP117603.1	conjugative
CP117607.1	conjugative
CP117611.1	conjugative
CP117617.1	conjugative
CP117621.1	conjugative
CP117622.1	conjugative
CP117629.1	conjugative
CP117631.1	conjugative
CP117638.1	conjugative
CP117648.1	conjugative
CP117655.1	conjugative
CP117660.1	conjugative
CP117673.1	conjugative
CP117716.1	conjugative
CP117718.1	conjugative
CP117722.1	mobilizable
CP119123.1	non-mobilizable
CP119333.1	mobilizable
CP120235.1	conjugative
CP120550.1	conjugative
CP120551.1	conjugative
CP120558.1	conjugative
CP120564.1	conjugative
CP120569.1	conjugative
CP120634.1	conjugative
CP121221.1	conjugative
LR861787.1	conjugative
LR861790.1	conjugative
LR890263.1	conjugative
LR890264.1	conjugative
LR890265.1	conjugative
LR890579.1	conjugative
LR890662.1	conjugative
LR890663.1	conjugative
LR890664.1	conjugative
NC_007941.1	conjugative
NC_009837.1	conjugative
NC_010488.1	conjugative
NC_011603.1	conjugative
NC_011747.1	conjugative
NC_013362.1	conjugative
NC_013366.1	conjugative
NC_013655.1	conjugative
NC_017627.1	conjugative
NC_017630.1	conjugative
NC_017640.1	conjugative
NC_017647.1	non-mobilizable
NC_017659.1	conjugative
NC_017722.1	conjugative
NC_022651.1	conjugative
NZ_AP017611.1	conjugative
NZ_AP017618.1	mobilizable
NZ_AP017621.1	mobilizable
NZ_AP018147.1	conjugative
NZ_AP018674.1	mobilizable
NZ_AP018785.1	conjugative
NZ_AP018799.1	conjugative
NZ_AP018800.1	conjugative
NZ_AP018801.1	conjugative
NZ_AP018805.1	conjugative
NZ_AP018811.1	conjugative
NZ_AP019676.1	conjugative
NZ_AP019677.1	conjugative
NZ_AP019763.1	conjugative
NZ_AP019804.1	conjugative
NZ_AP021915.1	conjugative
NZ_AP021934.1	conjugative
NZ_AP021947.1	conjugative
NZ_AP021964.1	mobilizable
NZ_AP021999.1	conjugative
NZ_AP022004.1	conjugative
NZ_AP022031.1	conjugative
NZ_AP022033.1	conjugative
NZ_AP022045.1	conjugative
NZ_AP022050.1	conjugative
NZ_AP022065.1	conjugative
NZ_AP022070.1	conjugative
NZ_AP022072.1	conjugative
NZ_AP022091.1	conjugative
NZ_AP022096.1	conjugative
NZ_AP022106.1	conjugative
NZ_AP022121.1	conjugative
NZ_AP022162.1	conjugative
NZ_AP022172.1	conjugative
NZ_AP022175.1	conjugative
NZ_AP022208.1	conjugative
NZ_AP022223.1	conjugative
NZ_AP022225.1	conjugative
NZ_AP022246.1	conjugative
NZ_AP022247.1	conjugative
NZ_AP022288.1	conjugative
NZ_AP022299.1	conjugative
NZ_AP022300.1	conjugative
NZ_AP022327.1	conjugative
NZ_AP022328.1	conjugative
NZ_AP022410.1	conjugative
NZ_AP022479.1	conjugative
NZ_AP022483.1	conjugative
NZ_AP022526.1	conjugative
NZ_AP022534.1	conjugative
NZ_AP022535.1	conjugative
NZ_AP022543.1	conjugative
NZ_AP022550.1	conjugative
NZ_AP022651.1	mobilizable
NZ_AP022812.1	conjugative
NZ_AP022816.1	conjugative
NZ_AP023192.1	conjugative
NZ_AP023199.1	conjugative
NZ_AP023220.2	conjugative
NZ_AP023221.2	conjugative
NZ_AP023225.1	mobilizable
NZ_AP023228.1	conjugative
NZ_AP023231.2	conjugative
NZ_AP023232.2	conjugative
NZ_AP023236.1	conjugative
NZ_AP023238.1	mobilizable
NZ_AP023295.1	conjugative
NZ_AP023301.1	conjugative
NZ_AP023307.1	conjugative
NZ_AP023314.1	conjugative
NZ_AP023341.1	conjugative
NZ_AP023434.1	conjugative
NZ_AP023435.1	conjugative
NZ_AP023454.1	conjugative
NZ_AP024113.1	conjugative
NZ_AP024116.1	conjugative
NZ_AP024124.1	conjugative
NZ_AP024127.1	conjugative
NZ_AP024499.1	conjugative
NZ_AP024519.1	conjugative
NZ_AP024688.1	conjugative
NZ_AP025658.1	conjugative
NZ_AP025663.1	conjugative
NZ_AP025676.1	conjugative
NZ_AP025679.1	conjugative
NZ_CP005931.1	conjugative
NZ_CP006635.1	conjugative
NZ_CP006666.1	non-mobilizable
NZ_CP008715.1	conjugative
NZ_CP009167.1	conjugative
NZ_CP009860.1	conjugative
NZ_CP010120.1	conjugative
NZ_CP010123.1	conjugative
NZ_CP010126.1	conjugative
NZ_CP010138.1	conjugative
NZ_CP010141.1	conjugative
NZ_CP010147.1	conjugative
NZ_CP010149.1	conjugative
NZ_CP010158.1	conjugative
NZ_CP010174.1	conjugative
NZ_CP010181.1	conjugative
NZ_CP010184.1	conjugative
NZ_CP010187.1	conjugative
NZ_CP010192.1	conjugative
NZ_CP010197.1	conjugative
NZ_CP010209.1	conjugative
NZ_CP010214.1	conjugative
NZ_CP010215.1	conjugative
NZ_CP010222.1	conjugative
NZ_CP010223.1	conjugative
NZ_CP010232.1	conjugative
NZ_CP010239.1	conjugative
NZ_CP010241.1	conjugative
NZ_CP010316.1	conjugative
NZ_CP010345.1	conjugative
NZ_CP010372.1	conjugative
NZ_CP010882.1	conjugative
NZ_CP011019.1	conjugative
NZ_CP011064.1	conjugative
NZ_CP011065.1	conjugative
NZ_CP011135.1	conjugative
NZ_CP011136.1	conjugative
NZ_CP011417.1	conjugative
NZ_CP011418.1	conjugative
NZ_CP011916.1	conjugative
NZ_CP012139.1	conjugative
NZ_CP012377.1	conjugative
NZ_CP012498.1	conjugative
NZ_CP012499.1	conjugative
NZ_CP012500.1	conjugative
NZ_CP012501.1	conjugative
NZ_CP012626.1	conjugative
NZ_CP012632.1	conjugative
NZ_CP012634.1	conjugative
NZ_CP012636.1	conjugative
NZ_CP012683.1	conjugative
NZ_CP012928.1	conjugative
NZ_CP013026.1	conjugative
NZ_CP013027.1	conjugative
NZ_CP013192.1	non-mobilizable
NZ_CP013657.1	conjugative
NZ_CP013832.1	conjugative
NZ_CP013833.1	conjugative
NZ_CP013834.1	conjugative
NZ_CP014110.1	conjugative
NZ_CP014112.1	conjugative
NZ_CP014271.1	conjugative
NZ_CP014273.1	conjugative
NZ_CP014320.1	conjugative
NZ_CP014321.1	conjugative
NZ_CP014489.1	conjugative
NZ_CP014496.1	conjugative
NZ_CP014498.1	conjugative
NZ_CP014523.1	conjugative
NZ_CP014668.1	conjugative
NZ_CP015070.1	conjugative
NZ_CP015072.1	conjugative
NZ_CP015077.1	conjugative
NZ_CP015086.1	conjugative
NZ_CP015131.1	conjugative
NZ_CP015140.1	conjugative
NZ_CP015160.1	conjugative
NZ_CP015239.1	conjugative
NZ_CP015388.1	conjugative
NZ_CP015503.1	conjugative
NZ_CP015836.1	conjugative
NZ_CP015914.1	conjugative
NZ_CP016389.1	conjugative
NZ_CP016498.1	conjugative
NZ_CP017086.1	mobilizable
NZ_CP017221.1	conjugative
NZ_CP017287.1	mobilizable
NZ_CP017633.1	conjugative
NZ_CP017721.1	conjugative
NZ_CP017726.1	conjugative
NZ_CP017852.1	mobilizable
NZ_CP018113.1	conjugative
NZ_CP018119.1	conjugative
NZ_CP018125.1	conjugative
NZ_CP018343.1	mobilizable
NZ_CP018455.1	conjugative
NZ_CP018643.1	conjugative
NZ_CP018947.1	non-mobilizable
NZ_CP018952.1	conjugative
NZ_CP018954.1	conjugative
NZ_CP018964.1	mobilizable
NZ_CP018969.1	mobilizable
NZ_CP018973.1	conjugative
NZ_CP018978.1	conjugative
NZ_CP018982.1	conjugative
NZ_CP018990.1	conjugative
NZ_CP018994.1	conjugative
NZ_CP018998.1	mobilizable
NZ_CP019001.1	conjugative
NZ_CP019007.1	conjugative
NZ_CP019009.1	conjugative
NZ_CP019014.1	conjugative
NZ_CP019018.1	conjugative
NZ_CP019028.1	conjugative
NZ_CP019055.1	conjugative
NZ_CP019076.1	conjugative
NZ_CP019190.1	conjugative
NZ_CP019244.1	conjugative
NZ_CP019247.1	conjugative
NZ_CP019251.1	conjugative
NZ_CP019261.1	conjugative
NZ_CP019268.1	conjugative
NZ_CP019272.1	conjugative
NZ_CP019276.1	conjugative
NZ_CP019282.1	conjugative
NZ_CP019357.1	conjugative
NZ_CP019444.1	conjugative
NZ_CP019456.1	conjugative
NZ_CP019561.1	conjugative
NZ_CP019909.1	conjugative
NZ_CP019910.1	conjugative
NZ_CP019954.1	conjugative
NZ_CP020057.1	non-mobilizable
NZ_CP020117.1	conjugative
NZ_CP020340.1	conjugative
NZ_CP020496.1	conjugative
NZ_CP020510.1	conjugative
NZ_CP020515.1	conjugative
NZ_CP020517.1	conjugative
NZ_CP020519.1	conjugative
NZ_CP020546.1	conjugative
NZ_CP020934.1	conjugative
NZ_CP021087.1	conjugative
NZ_CP021180.1	conjugative
NZ_CP021203.1	conjugative
NZ_CP021204.1	conjugative
NZ_CP021210.1	conjugative
NZ_CP021289.1	conjugative
NZ_CP021337.1	conjugative
NZ_CP021341.1	conjugative
NZ_CP021536.1	conjugative
NZ_CP021684.1	conjugative
NZ_CP021690.1	conjugative
NZ_CP021711.1	conjugative
NZ_CP021728.1	conjugative
NZ_CP021733.1	conjugative
NZ_CP021737.1	conjugative
NZ_CP021843.1	conjugative
NZ_CP021847.1	conjugative
NZ_CP021871.1	conjugative
NZ_CP021880.1	conjugative
NZ_CP021937.1	mobilizable
NZ_CP021938.1	conjugative
NZ_CP022166.1	conjugative
NZ_CP022227.3	conjugative
NZ_CP022731.1	conjugative
NZ_CP022732.1	conjugative
NZ_CP023145.1	conjugative
NZ_CP023164.1	conjugative
NZ_CP023351.1	conjugative
NZ_CP023354.1	conjugative
NZ_CP023355.1	conjugative
NZ_CP023358.1	conjugative
NZ_CP023361.1	conjugative
NZ_CP023363.1	conjugative
NZ_CP023367.1	conjugative
NZ_CP023369.1	conjugative
NZ_CP023372.1	conjugative
NZ_CP023378.1	conjugative
NZ_CP023384.1	conjugative
NZ_CP023389.1	conjugative
NZ_CP023471.1	conjugative
NZ_CP023725.1	conjugative
NZ_CP023733.1	conjugative
NZ_CP023816.1	conjugative
NZ_CP023821.1	conjugative
NZ_CP023827.1	conjugative
NZ_CP023828.1	conjugative
NZ_CP023835.1	conjugative
NZ_CP023845.1	conjugative
NZ_CP023850.1	conjugative
NZ_CP023854.1	conjugative
NZ_CP023895.1	conjugative
NZ_CP023903.1	conjugative
NZ_CP023918.1	conjugative
NZ_CP023942.1	conjugative
NZ_CP023959.1	conjugative
NZ_CP024039.1	non-mobilizable
NZ_CP024133.1	conjugative
NZ_CP024140.1	conjugative
NZ_CP024145.1	conjugative
NZ_CP024151.1	conjugative
NZ_CP024157.1	conjugative
NZ_CP024237.1	conjugative
NZ_CP024238.1	conjugative
NZ_CP024242.1	conjugative
NZ_CP024258.1	conjugative
NZ_CP024267.1	non-mobilizable
NZ_CP024276.1	non-mobilizable
NZ_CP024281.1	conjugative
NZ_CP024284.1	conjugative
NZ_CP024286.1	conjugative
NZ_CP024287.1	conjugative
NZ_CP024291.1	conjugative
NZ_CP024430.1	conjugative
NZ_CP024475.1	conjugative
NZ_CP024652.2	conjugative
NZ_CP024718.1	conjugative
NZ_CP024721.1	conjugative
NZ_CP024805.1	mobilizable
NZ_CP024816.1	conjugative
NZ_CP024823.1	conjugative
NZ_CP024827.1	conjugative
NZ_CP024831.1	conjugative
NZ_CP024836.1	conjugative
NZ_CP024840.1	conjugative
NZ_CP024852.1	conjugative
NZ_CP024856.1	conjugative
NZ_CP024860.1	conjugative
NZ_CP024863.1	conjugative
NZ_CP024888.1	conjugative
NZ_CP024975.1	conjugative
NZ_CP025253.1	conjugative
NZ_CP025329.1	conjugative
NZ_CP025403.1	conjugative
NZ_CP025458.1	mobilizable
NZ_CP025463.1	mobilizable
NZ_CP025574.1	conjugative
NZ_CP025626.1	conjugative
NZ_CP025677.1	conjugative
NZ_CP025708.1	conjugative
NZ_CP025737.1	non-mobilizable
NZ_CP025844.1	conjugative
NZ_CP025850.1	conjugative
NZ_CP025852.1	conjugative
NZ_CP025857.1	conjugative
NZ_CP025861.1	conjugative
NZ_CP025919.1	conjugative
NZ_CP025949.1	conjugative
NZ_CP025952.1	conjugative
NZ_CP026131.1	conjugative
NZ_CP026133.1	non-mobilizable
NZ_CP026137.1	non-mobilizable
NZ_CP026141.1	conjugative
NZ_CP026147.1	non-mobilizable
NZ_CP026152.1	non-mobilizable
NZ_CP026158.1	conjugative
NZ_CP026201.1	conjugative
NZ_CP026403.1	conjugative
NZ_CP026474.1	mobilizable
NZ_CP026494.1	conjugative
NZ_CP026576.2	conjugative
NZ_CP026579.1	conjugative
NZ_CP026584.1	conjugative
NZ_CP026589.1	mobilizable
NZ_CP026643.1	conjugative
NZ_CP026724.1	conjugative
NZ_CP026754.1	conjugative
NZ_CP026854.1	conjugative
NZ_CP026930.2	conjugative
NZ_CP026931.2	conjugative
NZ_CP026934.1	conjugative
NZ_CP026937.1	conjugative
NZ_CP026940.2	conjugative
NZ_CP027067.1	non-mobilizable
NZ_CP027119.1	non-mobilizable
NZ_CP027130.1	conjugative
NZ_CP027164.1	non-mobilizable
NZ_CP027200.1	non-mobilizable
NZ_CP027222.1	conjugative
NZ_CP027256.1	conjugative
NZ_CP027308.1	conjugative
NZ_CP027311.1	conjugative
NZ_CP027343.1	conjugative
NZ_CP027348.1	conjugative
NZ_CP027357.1	conjugative
NZ_CP027367.1	conjugative
NZ_CP027375.1	conjugative
NZ_CP027384.1	conjugative
NZ_CP027385.1	conjugative
NZ_CP027439.1	conjugative
NZ_CP027448.1	conjugative
NZ_CP027455.1	conjugative
NZ_CP027458.1	conjugative
NZ_CP027536.1	conjugative
NZ_CP027537.1	conjugative
NZ_CP027551.1	conjugative
NZ_CP027554.1	conjugative
NZ_CP027576.1	conjugative
NZ_CP027580.1	conjugative
NZ_CP027581.1	conjugative
NZ_CP027703.1	conjugative
NZ_CP027802.1	conjugative
NZ_CP027866.1	conjugative
NZ_CP028118.1	conjugative
NZ_CP028193.1	conjugative
NZ_CP028321.1	conjugative
NZ_CP028322.1	conjugative
NZ_CP028383.1	conjugative
NZ_CP028431.1	conjugative
NZ_CP028434.1	conjugative
NZ_CP028484.1	conjugative
NZ_CP028541.2	conjugative
NZ_CP028547.2	non-mobilizable
NZ_CP028576.1	non-mobilizable
NZ_CP028582.2	conjugative
NZ_CP028587.1	conjugative
NZ_CP028610.1	conjugative
NZ_CP028790.2	mobilizable
NZ_CP028796.1	mobilizable
NZ_CP028854.1	conjugative
NZ_CP029058.1	conjugative
NZ_CP029104.1	conjugative
NZ_CP029107.1	non-mobilizable
NZ_CP029113.1	conjugative
NZ_CP029243.1	conjugative
NZ_CP029368.1	non-mobilizable
NZ_CP029381.1	conjugative
NZ_CP029422.1	conjugative
NZ_CP029575.1	conjugative
NZ_CP029577.1	conjugative
NZ_CP029578.1	conjugative
NZ_CP029580.1	conjugative
NZ_CP029691.1	conjugative
NZ_CP029734.1	conjugative
NZ_CP029744.1	conjugative
NZ_CP029748.1	conjugative
NZ_CP029974.1	conjugative
NZ_CP029978.1	non-mobilizable
NZ_CP029979.1	conjugative
NZ_CP030112.1	mobilizable
NZ_CP030133.1	non-mobilizable
NZ_CP030134.1	non-mobilizable
NZ_CP030153.1	conjugative
NZ_CP030283.1	conjugative
NZ_CP030298.1	conjugative
NZ_CP030301.1	mobilizable
NZ_CP030329.1	conjugative
NZ_CP030339.1	mobilizable
NZ_CP030770.1	conjugative
NZ_CP030782.1	conjugative
NZ_CP030791.1	conjugative
NZ_CP031107.1	conjugative
NZ_CP031233.1	non-mobilizable
NZ_CP031295.1	conjugative
NZ_CP031548.1	conjugative
NZ_CP031655.1	conjugative
NZ_CP031707.1	conjugative
NZ_CP031717.1	non-mobilizable
NZ_CP031720.1	conjugative
NZ_CP031804.1	conjugative
NZ_CP031852.1	conjugative
NZ_CP031936.1	mobilizable
NZ_CP032068.1	conjugative
NZ_CP032080.1	conjugative
NZ_CP032165.1	conjugative
NZ_CP032166.1	non-mobilizable
NZ_CP032171.1	non-mobilizable
NZ_CP032202.1	conjugative
NZ_CP032205.1	conjugative
NZ_CP032226.1	conjugative
NZ_CP032242.1	conjugative
NZ_CP032258.1	conjugative
NZ_CP032262.1	conjugative
NZ_CP032263.1	conjugative
NZ_CP032425.1	mobilizable
NZ_CP032516.1	non-mobilizable
NZ_CP032799.1	conjugative
NZ_CP032810.1	conjugative
NZ_CP032836.1	conjugative
NZ_CP032877.1	conjugative
NZ_CP032891.1	conjugative
NZ_CP032991.1	conjugative
NZ_CP033091.2	conjugative
NZ_CP033159.1	conjugative
NZ_CP033395.2	conjugative
NZ_CP033400.1	non-mobilizable
